"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2023","10864042",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2024","10905028",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2005","5419432",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2006","5437272",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2007","5461438",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2008","5493621",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2009","5523095",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2010","5547683",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2011","5570572",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2012","5591572",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2013","5614932",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2014","5643475",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2015","5683483",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2016","5728010",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2017","5764980",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2018","5793636",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2019","5814422",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2020","5831404",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2021","5856733",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2022","5903037",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2023","5946952",
"25","Total population, pers.","Total population","Persons","208","DNK","Denmark","2024","5976992",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2005","1354775",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2006","1346810",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2007","1340680",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2008","1337090",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2009","1334515",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2010","1331475",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2011","1327439",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2012","1322696",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2013","1317997",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2014","1315345",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2015","1315407",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2016","1315790",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2017","1317384",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2018","1321977",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2019","1326898",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2020","1329522",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2021","1330932",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2022","1348840",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2023","1370286",
"25","Total population, pers.","Total population","Persons","233","EST","Estonia","2024","1372341",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2005","5246096",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2006","5266268",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2007","5288720",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2008","5313399",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2009","5338871",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2010","5363352",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2011","5388272",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2012","5413971",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2013","5438972",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2014","5461512",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2015","5479531",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2016","5495303",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2017","5508214",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2018","5515525",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2019","5521606",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2020","5529543",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2021","5541017",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2022","5556106",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2023","5583911",
"25","Total population, pers.","Total population","Persons","246","FIN","Finland","2024","5619911",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2005","63001253",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2006","63437350",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2007","63826129",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2008","64178710",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2009","64504541",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2010","64818789",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2011","65127852",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2012","65438667",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2013","65883165",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2014","66312067",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2015","66548272",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2016","66724104",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2017","66918020",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2018","67158348",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2019","67382061",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2020","67601110",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2021","67910136",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2022","68184457",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2023","68473257",
"25","Total population, pers.","Total population","Persons","250","FRA","France","2024","68775952",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2005","3902469",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2006","3880347",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2007","3860158",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2008","3848449",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2009","3814419",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2010","3786695",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2011","3756441",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2012","3728874",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2013","3717668",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2014","3719414",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2015","3725276",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2016","3727505",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2017","3728004",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2018","3726549",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2019","3720161",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2020","3722716",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2021","3708610",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2022","..",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2023","..",
"25","Total population, pers.","Total population","Persons","268","GEO","Georgia","2024","..",
"25","Total population, pers.","Total population","Persons","276","DEU","Germany","2005","82469422",
"25","Total population, pers.","Total population","Persons","276","DEU","Germany","2006","82376451",
"25","Total population, pers.","Total population","Persons","276","DEU","Germany","2007","82266372",
